4445,1096,9607,7206,3620,1074,4295,510,9444,3327,6882,7338,4420,356,9870,192,1046,4659,5759,1571,1822,8738,7047,3975,9248,5093,6237,9905,5825,6223,5826,1861,4052,4629,8316,2341,6430,2810,6206,3847,5458,3266,1998,8878,3637,8497,8188,9935,3466,1005,7280,9517,7444,3287,1772,126,8074,7845,4164,4258,7854,7178,6957,4417,9284,3787,2650,3101,4865,171,3744,2810,7096,8830,2738,6044,8478,2265,2132,5304,5304
2697,20,7385,3114,8024,5438,1176,3556,3401,4030,1265,3423,1327,8296,152,5213,4301,736,338,1428,4824,3850,4323,4565,5397,138,4607,7127,8517,2099,3690,1613,6687,2234,4072,523,2406,3042,8252,6356,8173,7025,8731,1613,6489,6681,8009,8793,9854,4512,8586,399,769,3016,2963,8927,1731,4694,3637,6880,5243,2046,3111,6756,3803,7572,3883,1057,9912,3771,8454,2280,6070,3145,9323,2928,4777,8192,8992,5499,5499
5115,1318,521,7760,577,9008,5596,5377,5891,7177,1775,4723,3560,8325,1558,8297,6082,4951,7444,8599,5957,9555,1934,8131,5686,4639,7527,9390,7769,2700,6724,4879,4705,6240,2025,7096,8994,7759,5928,8541,3138,9756,936,1716,9634,4732,9546,9117,985,5186,4261,3249,9688,3619,7578,6608,8245,2530,2000,1696,9155,4419,26,1013,4920,1788,4154,7057,8038,7134,6885,2331,1009,2960,721,9332,6334,1763,8160,564,564
718,7586,6084,1094,9997,2679,1521,1406,9716,6336,3648,6533,2376,1058,4963,8974,474,9344,7968,1230,6511,3695,5163,5800,2988,6609,9047,5185,2405,589,2121,1884,7260,8132,6884,8397,56,1741,5837,7225,3290,3914,1479,868,9464,7151,6310,1825,1078,3953,2831,2596,632,6818,3541,5682,624,8249,941,3582,3556,744,7530,8797,1927,6803,5809,3826,8238,8927,8277,1170,4988,9615,7434,3328,4678,1369,5782,2801,2801
2209,5167,1364,6150,7377,5397,3061,5721,1228,9933,4690,848,6260,1277,8750,4032,4974,1927,7742,7772,9868,4383,4166,4570,3446,1146,522,6923,8204,4716,9308,7334,6645,7592,3027,8301,1267,2275,4177,2325,4570,1265,5259,1906,9055,7060,8772,9542,7222,2164,7217,7736,1571,9073,3095,8986,4601,290,8903,5793,8812,8312,7143,658,6706,5641,315,6077,782,4778,919,4554,3538,8220,1453,8588,7476,8469,4420,679,679
2212,2642,8983,5182,7682,5429,9868,4946,7107,5296,959,8041,2988,4743,4754,6966,7822,6271,3755,4221,4113,2378,461,2306,4359,5565,7371,3721,1060,8333,6986,966,6715,3181,1808,6541,3826,2609,4333,2946,4892,9116,7064,2681,2413,5204,2500,8246,8888,3372,3141,2142,6820,6120,1488,6867,8706,5948,39,4923,7047,5356,1295,8809,4344,6844,7756,1025,3095,2913,1923,4071,5801,6061,6294,447,4963,8789,3371,2653,2653
654,1443,7623,7358,1314,2652,7037,2635,109,2621,5837,7921,9537,3850,6521,5717,2102,8837,1591,8523,301,87,3544,8838,6634,95,4883,9164,3603,1362,8106,2000,3706,6389,5714,9844,9443,7676,207,5199,3317,7723,4085,564,7824,9030,9846,8437,5466,4097,9994,1322,8743,5423,7026,1715,155,5509,3443,2119,2202,6855,1744,5032,7383,1961,4430,2955,8199,3326,4001,8387,7149,3452,2957,3830,6735,4836,3798,1783,1783
4348,5741,1585,7387,1158,3403,7129,7847,3563,4785,4520,8277,4064,2388,6256,1179,5161,8711,4839,9049,9353,6256,2767,4392,9141,7521,2540,9705,7025,5007,6659,7489,5504,1214,7624,244,7079,8640,7934,469,4251,9788,91,665,9517,7157,6592,3331,5379,3247,9940,968,4338,557,2634,6076,8891,1588,7172,1155,1541,8839,6057,8703,4786,4811,1788,1224,1127,2004,6864,1215,3063,2918,3786,1176,3096,52,5054,3608,3608
3079,7621,6935,4497,6282,770,8933,4251,2700,2755,5394,4094,4829,6079,8818,6523,5172,3241,1705,4042,6228,6740,6554,9147,497,9077,5867,4341,478,2753,2142,2123,8672,266,7880,4993,7579,4117,5581,5450,9699,6805,7745,5995,7532,833,6872,9128,3578,8697,5462,7350,337,2900,6015,3159,309,5940,1031,9056,5993,319,3009,7541,9890,8535,4451,1114,4501,3089,7854,2274,2324,6481,5722,3523,5860,1212,552,7359,7359
6821,7030,8551,955,6310,9188,6659,8293,6161,4832,1378,5368,8872,6462,5208,4679,6946,6579,650,8726,2881,7682,203,11,9176,2272,6366,1031,8334,2848,1642,4287,2853,1910,8528,2280,5232,1958,9526,7508,7973,5493,7136,2474,3577,5014,3857,9675,4540,3022,2189,1614,3366,2015,4633,788,2552,4495,3687,9698,4600,2962,1854,846,2010,9914,1631,6729,7280,7853,5519,9848,2912,9278,6019,2705,1405,6690,5631,7797,7797
